id,dataset_version,segment,opted_out,preferred_channel,lifetime_payments,lifetime_failures,prior_successful_payments,risk_flag
cust_0001,synthetic-v2,RETAIL,False,EMAIL,22,1,21,NONE
cust_0002,synthetic-v2,ENTERPRISE,False,EMAIL,24,1,23,NONE
cust_0003,synthetic-v2,SMB,False,SMS,23,0,23,NONE
cust_0004,synthetic-v2,ENTERPRISE,False,EMAIL,22,1,21,NONE
cust_0005,synthetic-v2,ENTERPRISE,False,EMAIL,24,1,23,NONE
cust_0006,synthetic-v2,RETAIL,False,SMS,22,2,20,NONE
cust_0007,synthetic-v2,SMB,False,EMAIL,25,2,23,NONE
cust_0008,synthetic-v2,RETAIL,False,SMS,19,4,15,NONE
cust_0009,synthetic-v2,RETAIL,False,EMAIL,20,3,17,NONE
cust_0010,synthetic-v2,ENTERPRISE,False,SMS,17,3,14,NONE
cust_0011,synthetic-v2,RETAIL,False,EMAIL,16,2,14,NONE
cust_0012,synthetic-v2,RETAIL,False,EMAIL,16,3,13,NONE
cust_0013,synthetic-v2,SMB,False,SMS,16,3,13,NONE
cust_0014,synthetic-v2,RETAIL,False,EMAIL,17,2,15,NONE
cust_0015,synthetic-v2,SMB,False,SMS,20,1,19,NONE
cust_0016,synthetic-v2,ENTERPRISE,False,SMS,23,0,23,NONE
cust_0017,synthetic-v2,RETAIL,False,EMAIL,20,0,20,NONE
cust_0018,synthetic-v2,SMB,False,EMAIL,20,2,18,NONE
cust_0019,synthetic-v2,RETAIL,False,EMAIL,10,5,5,NONE
cust_0020,synthetic-v2,ENTERPRISE,False,EMAIL,11,6,5,NONE
cust_0021,synthetic-v2,SMB,False,EMAIL,15,5,10,NONE
cust_0022,synthetic-v2,RETAIL,False,EMAIL,12,5,7,NONE
cust_0023,synthetic-v2,RETAIL,False,SMS,21,1,20,NONE
cust_0024,synthetic-v2,SMB,False,EMAIL,24,0,24,NONE
cust_0025,synthetic-v2,ENTERPRISE,False,EMAIL,24,0,24,NONE
cust_0026,synthetic-v2,SMB,False,EMAIL,21,2,19,NONE
cust_0027,synthetic-v2,RETAIL,False,EMAIL,9,2,7,FRAUD_WATCH
cust_0028,synthetic-v2,RETAIL,False,EMAIL,7,2,5,FRAUD_WATCH
cust_0029,synthetic-v2,SMB,False,SMS,2,1,1,FRAUD_WATCH
cust_0030,synthetic-v2,ENTERPRISE,True,NONE,18,2,16,NONE
cust_0031,synthetic-v2,RETAIL,True,NONE,21,1,20,NONE
cust_0032,synthetic-v2,SMB,True,NONE,22,1,21,NONE
cust_0033,synthetic-v2,ENTERPRISE,True,NONE,24,0,24,NONE
cust_0034,synthetic-v2,RETAIL,False,SMS,39,0,39,NONE
cust_0035,synthetic-v2,ENTERPRISE,False,EMAIL,41,0,41,NONE
cust_0036,synthetic-v2,ENTERPRISE,False,EMAIL,39,2,37,NONE
cust_0037,synthetic-v2,SMB,False,SMS,42,0,42,NONE
cust_0038,synthetic-v2,ENTERPRISE,False,SMS,34,0,34,NONE
cust_0039,synthetic-v2,RETAIL,False,EMAIL,37,0,37,NONE
cust_0040,synthetic-v2,RETAIL,False,EMAIL,29,1,28,NONE
cust_0041,synthetic-v2,RETAIL,False,SMS,31,1,30,NONE
cust_0042,synthetic-v2,ENTERPRISE,False,SMS,15,3,12,NONE
cust_0043,synthetic-v2,ENTERPRISE,False,SMS,10,5,5,NONE
cust_0044,synthetic-v2,RETAIL,False,EMAIL,12,5,7,NONE
cust_0045,synthetic-v2,ENTERPRISE,False,EMAIL,18,2,16,NONE
cust_0046,synthetic-v2,SMB,False,EMAIL,19,1,18,NONE
cust_0047,synthetic-v2,SMB,False,EMAIL,23,1,22,NONE
cust_0048,synthetic-v2,RETAIL,False,EMAIL,11,7,4,NONE
cust_0049,synthetic-v2,RETAIL,False,EMAIL,11,6,5,NONE
cust_0050,synthetic-v2,ENTERPRISE,False,EMAIL,10,5,5,NONE
cust_0051,synthetic-v2,RETAIL,False,SMS,8,0,8,NONE
cust_0052,synthetic-v2,RETAIL,False,SMS,7,1,6,NONE
cust_0053,synthetic-v2,RETAIL,False,EMAIL,11,0,11,NONE
