id,dataset_version,customer_id,invoice_id,amount_minor,currency,payment_state,recovery_state,risk_type,failure_category,failure_code,retry_count,contact_count,is_disputed,failed_at,window_expires_at,last_attempt_at,recovered_amount_minor,scenario_tag
pay_0001,synthetic-v2,cust_0001,inv_0001,566600,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,transient_bank_failure
pay_0002,synthetic-v2,cust_0002,inv_0002,309800,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,transient_bank_failure
pay_0003,synthetic-v2,cust_0003,inv_0003,122600,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,transient_bank_failure
pay_0004,synthetic-v2,cust_0004,inv_0004,863100,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,transient_bank_failure
pay_0005,synthetic-v2,cust_0005,inv_0005,625100,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,transient_bank_failure
pay_0006,synthetic-v2,cust_0006,inv_0006,488000,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,transient_bank_failure
pay_0007,synthetic-v2,cust_0007,inv_0007,863600,INR,FAILED,PENDING,PAYMENT_FAILURE,BANK_UNAVAILABLE,GW_TIMEOUT,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,transient_bank_failure
pay_0008,synthetic-v2,cust_0008,inv_0008,568400,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,insufficient_funds
pay_0009,synthetic-v2,cust_0009,inv_0009,274200,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,insufficient_funds
pay_0010,synthetic-v2,cust_0010,inv_0010,535400,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,insufficient_funds
pay_0011,synthetic-v2,cust_0011,inv_0011,824200,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,insufficient_funds
pay_0012,synthetic-v2,cust_0012,inv_0012,95500,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,insufficient_funds
pay_0013,synthetic-v2,cust_0013,inv_0013,595500,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,insufficient_funds
pay_0014,synthetic-v2,cust_0014,inv_0014,564600,INR,FAILED,PENDING,PAYMENT_FAILURE,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,insufficient_funds
pay_0015,synthetic-v2,cust_0015,inv_0015,551800,INR,FAILED,PENDING,PAYMENT_FAILURE,CARD_EXPIRED,CARD_EXPIRED,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,expired_payment_method
pay_0016,synthetic-v2,cust_0016,inv_0016,859500,INR,FAILED,PENDING,PAYMENT_FAILURE,CARD_EXPIRED,CARD_EXPIRED,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,expired_payment_method
pay_0017,synthetic-v2,cust_0017,inv_0017,326700,INR,FAILED,PENDING,PAYMENT_FAILURE,CARD_EXPIRED,CARD_EXPIRED,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,expired_payment_method
pay_0018,synthetic-v2,cust_0018,inv_0018,543800,INR,FAILED,PENDING,PAYMENT_FAILURE,CARD_EXPIRED,CARD_EXPIRED,0,0,False,2026-02-28 12:00:00+00:00,2026-03-15 12:00:00+00:00,,0,expired_payment_method
